D	N	theta_moyen	        theta_goc	Δtheta
3	4	109.47122063449069	109.4712206	-.00000003449069
3	5	89.999999844260216	90.0000000	.000000155739784
3	6	89.999999972071805	90.0000000	.000000027928195
3	7	75.142270465178242	77.8695421	2.727271634821758
3	8	71.732801739841051	74.8584922	3.125690460158949
3	9	69.193877513084999	70.5287794	1.334901886915001
3	10	64.981183958933897	66.1468220	1.165638041066103
3	11	61.795489142739036	63.4349488	1.639459657260964
3	12	63.434947950620959	63.4349488	.000000849379041
3	13	56.849777106957909	57.1367031	.286925993042091
3	14	55.833280875172477	55.6705700	-.162710875172477
3	15	53.587147596529711	53.6578501	.070702503470289
3	16	52.025721873194279	52.2443957	.218673826805721
3	17	51.026522189559287	51.0903285	.063806310440713
3	18	49.008541841726405	49.5566548	.548112958273595
3	19	46.277142758126800	47.6919141	1.414771341873200
3	20	46.505040676086772	47.4310362	.925995523913228
3	21	45.322679917896927	45.6132231	.290543182103073
3	22	44.335892874649879	44.7401612	.404268325350121
3	23	42.233982619327016	43.7099642	1.475981580672984
3	24	42.070768599935931	43.6907671	1.619998500064069
3	25	41.381437337775345	41.6344612	.253023862224655
3	26	40.584153745193412	41.0376616	.453507854806588
3	27	40.677557882121867	40.6776007	.000042817878133
3	28	38.829125206220965	39.3551436	.526018393779035
3	29	38.128271391683676	38.7136512	.585379808316324
3	30	38.041241520483702	38.5971159	.555874379516298
3	31	37.378462227097863	37.7098291	.331366872902137
3	32	37.377349657183828	37.4752140	.097864342816172
3	33	36.172932430183110	36.2545530	.081620569816890
3	34	35.500397077614878	35.8077844	.307387322385122
3	35	35.048063866335909	35.3198076	.271743733664091
3	36	34.907065511880830	35.1897322	.282666688119170
3	37	34.291706341063801	34.4224080	.130701658936199
3	38	34.315417349367962	34.2506607	-.064756649367962
3	39	33.291888375545021	33.4890466	.197158224454979
3	40	32.853101217070517	33.1583563	.305255082929483
3	41	32.442860843368244	32.7290944	.286233556631756
3	42	31.863331382576455	32.5063863	.643054917423545
3	43	31.924560318393823	32.0906244	.166064081606177
3	44	31.896582190649823	31.9834230	.086840809350177
3	45	31.224134307301089	31.3230814	.098947092698911
3	46	30.443035969051110	30.9591635	.516127530948890
3	47	30.152140152034885	30.7818159	.629675747965115
3	48	29.947082713167369	30.7627855	.815702786832631
3	49	29.822692845728746	29.9235851	.100892254271254
3	50	29.697111448120143	29.7529564	.055844951879857
3	51	29.106560765874139	29.3684069	.261846134125861
3	52	28.882761465268686	29.1947579	.311996434731314
3	53	28.455728601720537	28.8138972	.358168598279463
3	54	28.529041079974956	28.7169205	.187879420025044
3	55	27.931477160768775	28.2627914	.331314239231225
3	56	27.763088379251659	28.1480466	.384958220748341
3	57	27.639403796082320	27.8266759	.187272103917680
3	58	27.074928398339328	27.5564159	.481487501660672
3	59	27.173715034979516	27.3949757	.221260665020484
3	60	27.051504199597495	27.1928300	.141325800402505
3	61	26.709216000563231	26.8732779	.164061899436769
3	62	26.486177694281185	26.6839970	.197819305718815
3	63	26.206709500788513	26.4869225	.280212999211487
3	64	26.006953842540877	26.2350433	.228089457459123
3	65	25.739206327480499	26.0698299	.330623572519501
3	66	25.687094912074766	25.9474437	.260348787925234
3	67	25.466648707044317	25.6839813	.217332592955683
3	68	25.081917904141811	25.4638245	.381906595858189
3	69	25.191949144689268	25.3336364	.141687255310732
3	70	25.027663387469097	25.1709200	.143256612530903
3	71	24.755137898155489	24.9879381	.232800201844511
3	72	24.496330344943271	24.9264861	.430155755056729
3	73	24.375367705997633	24.5537792	.178411494002367
3	74	24.317961987673836	24.4209398	.102977812326164
3	75	24.182828904559820	24.3017225	.118893595440180
3	76	23.947023576597431	24.1281944	.181170823402569
3	77	23.790880742568056	24.0012837	.210402957431944
3	78	23.783988933294189	23.9310254	.147036466705811
3	79	23.523279914017820	23.6239917	.100711785982180
3	80	23.424093649834251	23.5530672	.128973550165749
3	81	22.979932988919941	23.3476377	.367704711080059
3	82	23.115051271222754	23.1946074	.079556128777246
3	83	22.953541025514607	23.0829976	.129456574485393
3	84	22.774923885817138	23.0517306	.276806714182862
3	85	22.599640917034360	22.7791621	.179521182965640
3	86	22.470438071027022	22.6743694	.203931328972978
3	87	22.384442621659908	22.5466574	.162214778340092
3	88	22.189783379369089	22.4678810	.278097620630911
3	89	22.165151156587708	22.3166023	.151451143412292
3	90	21.893469517408697	22.1540232	.260553682591303
3	91	21.871062283732115	22.0517963	.180734016267885
3	92	21.652193254221245	22.0275815	.375388245778755
3	93	21.595814292620727	21.8103801	.214565807379273
3	94	21.501930384277980	21.7237135	.221783115722020
3	95	21.423597254338574	21.5945501	.170952845661426
3	96	21.192949320765099	21.5206099	.327660579234901
3	97	21.266491467347723	21.4006197	.134128232652277
3	98	21.223154803787846	21.3710607	.147905896212154
3	99	21.014727330696481	21.1359674	.121240069303519
3	100	20.781706516951033	21.0312020	.249495483048967
3	101	20.725598013071998	20.9286834	.203085386928002
3	102	20.470041330882712	20.8556887	.385647369117288
3	103	20.576175002368799	20.7382700	.162094997631201
3	104	20.550828670935257	20.6566210	.105792329064743
3	105	20.449051487033881	20.5388524	.089800912966119
3	106	20.201500078599615	20.4394089	.237908821400385
